handle,display_name,total_msgs,outbound,inbound,replied,first_msg,last_msg,scripts_used,last_inbound
appalachianstatesigmanusn,Appalachian State Sigma Nu - ΣΝ,1,1,0,no,2026-08-05,2026-08-05,A,
appalachianstatethetachi,Appalachian State Theta Chi,1,1,0,no,2026-08-05,2026-08-05,A,
appalachianstatesae,Appalachian State ΣAE,1,1,0,no,2026-08-05,2026-08-05,A,
auburnbetathetapi,Auburn Beta Theta Pi,1,1,0,no,2026-06-18,2026-06-18,A,
betachithetarutgersnb,Beta Chi Theta @ Rutgers NB,1,1,0,no,2026-06-15,2026-06-15,A,
betasigmabeta,Beta Sigma Beta,1,1,0,no,2026-06-11,2026-06-11,A,
betathetapi,Beta Theta Pi,1,1,0,no,2026-06-18,2026-06-18,A,
betathetapi,Beta Theta Pi,1,1,0,no,2026-08-05,2026-08-05,A,
betathetapi,Beta Theta Pi,1,1,0,no,2026-06-18,2026-06-18,A,
betathetapi,Beta Theta Pi,1,1,0,no,2026-06-18,2026-06-18,A,
betathetapi,Beta Theta Pi,1,1,0,no,2026-06-15,2026-06-15,A,
betathetapi,Beta Theta Pi,1,1,0,no,2026-06-18,2026-06-18,A,
betathetapi,Beta Theta Pi,1,1,0,no,2026-06-18,2026-06-18,A,
betathetapibthpwisconsinalphapi,Beta Theta Pi (ΒΘΠ) - Wisconsin Alpha Pi,1,1,0,no,2026-06-18,2026-06-18,A,
betathetapibutler,Beta Theta Pi - Butler,1,1,0,no,2026-07-06,2026-07-06,A,
betathetapieastcarolinauniversity,Beta Theta Pi - East Carolina University,1,1,0,no,2026-08-05,2026-08-05,A,
betathetapiidaho,Beta Theta Pi - Idaho,1,1,0,no,2026-06-18,2026-06-18,A,
betathetapiillinois,Beta Theta Pi - Illinois,1,1,0,no,2026-06-18,2026-06-18,A,
betathetapijohnshopkins,Beta Theta Pi - Johns Hopkins,1,1,0,no,2026-06-18,2026-06-18,A,
betathetapikentucky,Beta Theta Pi - Kentucky,1,1,0,no,2026-06-18,2026-06-18,A,
betathetapitauchapter,Beta Theta Pi - Tau Chapter,1,1,0,no,2026-06-18,2026-06-18,A,
betathetapiuconn,Beta Theta Pi - UConn,1,1,0,no,2026-06-18,2026-06-18,A,
betathetapizetasigma,Beta Theta Pi - Zeta Sigma,1,1,0,no,2026-07-06,2026-07-06,A,
betathetapithaud,Beta Theta Pi - ΘΑ - UD,1,1,0,no,2026-06-18,2026-06-18,A,
betathetapiatvt,Beta Theta Pi at VT,1,1,0,no,2026-06-18,2026-06-18,A,
betathetapihighpointuniversity,Beta Theta Pi | High Point University,1,1,0,no,2026-07-06,2026-07-06,A,
betathetapiucf,Beta Theta Pi | UCF,1,1,0,no,2026-06-15,2026-06-15,A,
betaupsilonchiuncchapelhill,Beta Upsilon Chi - UNC Chapel Hill,1,1,0,no,2026-08-05,2026-08-05,A,
bradleypikes,Bradley Pikes,1,1,0,no,2026-06-17,2026-06-17,A,
bucknelllambdachialpha,Bucknell Lambda Chi Alpha,1,1,0,no,2026-07-06,2026-07-06,A,
bucknellsigmaalphaepsilon,Bucknell Sigma Alpha Epsilon,1,1,0,no,2026-07-06,2026-07-06,A,
chapmanpike,CHAPMAN PIKE,1,1,0,no,2026-06-17,2026-06-17,A,
chiphi,CHI PHI,1,1,0,no,2026-07-06,2026-07-06,A,
cnupikappaphi,CNU Pi Kappa Phi,1,1,0,no,2026-06-18,2026-06-18,A,
cpppkaeventpage,CPP | ΠΚΑ Event Page,1,1,0,no,2026-06-17,2026-06-17,A,
centrecollegesae,Centre College ΣΑΕ,1,1,0,no,2026-07-06,2026-07-06,A,
chiphi,Chi Phi,1,1,0,no,2026-08-05,2026-08-05,A,
chiphi,Chi Phi,1,1,0,no,2026-06-15,2026-06-15,A,
chiphirutgers,Chi Phi Rutgers,1,1,0,no,2026-06-15,2026-06-15,A,
chiphiunf,Chi Phi UNF,1,1,0,no,2026-03-02,2026-03-02,A,
chiphiatfsu,Chi Phi at FSU,1,1,0,no,2026-06-17,2026-06-17,A,
chiphipennstate,Chi Phi | Penn State,1,1,0,no,2026-06-11,2026-06-11,A,
chiphikappadelta,"Chi Phi, Kappa Delta",1,1,0,no,2026-07-06,2026-07-06,A,
chipsirutgers,Chi Psi - Rutgers,1,1,0,no,2026-06-15,2026-06-15,A,
chipsiatusc,Chi Psi At USC,1,1,0,no,2026-08-05,2026-08-05,A,
clemsonpikepka,Clemson PIKE | ΠΚΑ,1,1,0,no,2026-06-17,2026-06-17,A,
deltasigmaphi,DELTA SIGMA PHI,1,1,0,no,2026-03-02,2026-03-02,A,
deltaupsilonuf,DELTA UPSILON 🐊 UF,1,1,0,no,2026-03-02,2026-03-02,A,
deltachicoastalcarolina,Delta Chi - Coastal Carolina,1,1,0,no,2026-08-05,2026-08-05,A,
deltachiuniversityofflorida,Delta Chi - University of Florida,1,1,0,no,2026-06-15,2026-06-15,A,
deltachigeorgiasouthern,Delta Chi @ Georgia Southern,1,1,0,no,2026-08-05,2026-08-05,A,
deltachifraternity,Delta Chi Fraternity,1,1,0,no,2026-07-07,2026-07-07,A,
deltachihighpointuniversity,Delta Chi | High Point University,1,1,0,no,2026-07-06,2026-07-06,A,
deltachisouthcarolina,Delta Chi | South Carolina,1,1,0,no,2026-08-05,2026-08-05,A,
deltakappaepsilon,Delta Kappa Epsilon,1,1,0,no,2026-06-15,2026-06-15,A,
deltakappaepsilon,Delta Kappa Epsilon,1,1,0,no,2026-08-05,2026-08-05,A,
deltakappaepsilondkebph,Delta Kappa Epsilon - ΔΚΕ ΒΦ,1,1,0,no,2026-07-06,2026-07-06,A,
deltaphirutgers,Delta Phi Rutgers,1,1,0,no,2026-06-15,2026-06-15,A,
deltasigmaphi,Delta Sigma Phi,1,1,0,no,2026-06-11,2026-06-11,A,
deltasigmaphi,Delta Sigma Phi,1,1,0,no,2026-07-07,2026-07-07,A,
deltasigmaphi,Delta Sigma Phi,1,1,0,no,2026-08-05,2026-08-05,A,
deltasigmaphiecu,Delta Sigma Phi - ECU,1,1,0,no,2026-08-05,2026-08-05,A,
deltasigmaphiatgeorgiacollege,Delta Sigma Phi at Georgia College,1,1,0,no,2026-08-05,2026-08-05,A,
deltasigmaphizetanu,Delta Sigma Phi | Zeta Nu,1,1,0,no,2026-07-07,2026-07-07,A,
deltasigmapi,Delta Sigma Pi,1,1,0,no,2026-06-15,2026-06-15,A,
deltataudelta,Delta Tau Delta,1,1,0,no,2026-06-15,2026-06-15,A,
deltataudelta,Delta Tau Delta,1,1,0,no,2026-08-05,2026-08-05,A,
deltataudeltaecu,Delta Tau Delta 🏴‍☠️ ECU,1,1,0,no,2026-08-05,2026-08-05,A,
deltataudeltabetazeta,Delta Tau Delta - Beta Zeta,1,1,0,no,2026-07-06,2026-07-06,A,
deltataudeltaepsilonpsi,Delta Tau Delta - Epsilon Psi,1,1,0,no,2026-07-06,2026-07-06,A,
deltataudeltamoravianuniversity,Delta Tau Delta - Moravian University,1,1,0,no,2026-07-06,2026-07-06,A,
deltataudeltakennesawstate,Delta Tau Delta Kennesaw State,1,1,0,no,2026-08-05,2026-08-05,A,
deltataudeltago,Delta Tau Delta — ΓΟ,1,1,0,no,2026-06-16,2026-06-16,A,
deltathetasigmafraternity,Delta Theta Sigma Fraternity,1,1,0,no,2026-06-11,2026-06-11,A,
deltaupsilon,Delta Upsilon,1,1,0,no,2026-06-11,2026-06-11,A,
deltaupsilontennessee,Delta Upsilon - Tennessee,1,1,0,no,2026-06-11,2026-06-11,A,
deltaupsilondy,Delta Upsilon - ΔΥ,1,1,0,no,2026-06-16,2026-06-16,A,
deltaupsilonfraternity,Delta Upsilon Fraternity,1,1,0,no,2026-06-15,2026-06-15,A,
deltaupsilonrochester,Delta Upsilon Rochester,1,1,0,no,2026-07-06,2026-07-06,A,
deltaupsilonusc,Delta Upsilon • USC,1,1,0,no,2026-08-05,2026-08-05,A,
denisonphikappapsi,Denison Phi Kappa Psi,1,1,0,no,2026-07-06,2026-07-06,A,
ecusaencsigma,ECU ΣΑΕ // NC Sigma,1,1,0,no,2026-08-05,2026-08-05,A,
fijisouthcarolina,FIJI South Carolina,1,1,0,no,2026-08-05,2026-08-05,A,
farmhousefraternity,FarmHouse Fraternity,1,1,0,no,2026-06-11,2026-06-11,A,
francismarionpikes,Francis Marion Pikes,1,1,0,no,2026-06-17,2026-06-17,A,
furmanbetathetapibthp,Furman Beta Theta Pi - ΒΘΠ,1,1,0,no,2026-07-06,2026-07-06,A,
furmanpikappaphi,Furman Pi Kappa Phi,1,1,0,no,2026-07-06,2026-07-06,A,
furmansae,Furman ΣΑΕ,1,1,0,no,2026-07-06,2026-07-06,A,
gcsuato,GCSU ATΩ,1,1,0,no,2026-08-05,2026-08-05,A,
gammaxi,Gamma Xi,1,1,0,no,2026-07-06,2026-07-06,A,
gannonuniversitypikes,Gannon University Pikes,1,1,0,no,2026-06-17,2026-06-17,A,
hanoverbetathetapi,Hanover Beta Theta Pi,1,1,0,no,2026-06-18,2026-06-18,A,
hanoversigmachi,Hanover Sigma Chi,1,1,0,no,2026-06-17,2026-06-17,A,
instagramuser,Instagram User,1,1,0,no,2026-06-15,2026-06-15,A,
instagramuser,Instagram User,1,1,0,no,2026-06-18,2026-06-18,A,
instagramuser,Instagram User,1,1,0,no,2026-08-05,2026-08-05,A,
interfraternitycouncil,Interfraternity Council,1,1,0,no,2026-01-13,2026-01-13,,
iowastatepike,Iowa State PIKE,1,1,0,no,2026-06-17,2026-06-17,A,
kabetazeta,KA Beta Zeta,1,1,0,no,2026-06-15,2026-06-15,A,
kappaalpha,Kappa Alpha,1,1,0,no,2026-06-15,2026-06-15,A,
kappaalphaorder,Kappa Alpha Order,1,1,0,no,2026-08-05,2026-08-05,A,
kappaalphaorder,Kappa Alpha Order,1,1,0,no,2026-03-02,2026-03-02,A,
kappaalphaorderdeltachapter,Kappa Alpha Order - Delta Chapter,1,1,0,no,2026-07-06,2026-07-06,A,
kappaalphaordernorthtexas,Kappa Alpha Order - North Texas,1,1,0,no,2026-07-07,2026-07-07,A,
kappaalphaorderrhodescollege,Kappa Alpha Order - Rhodes College,1,1,0,no,2026-07-06,2026-07-06,A,
kappaalphaorderdps,Kappa Alpha Order - ΔΨ,1,1,0,no,2026-08-05,2026-08-05,A,
kappaalphaorderecu,Kappa Alpha Order ECU,1,1,0,no,2026-08-05,2026-08-05,A,
kappaalphaorderzp,Kappa Alpha Order ZΠ,1,1,0,no,2026-03-02,2026-03-02,A,
kappaalphaorderpichapteruniversityoftennessee,Kappa Alpha Order | Pi Chapter | University of Tennessee,1,1,0,no,2026-08-05,2026-08-05,A,
kappaomicronalphasigmaphi,Kappa Omicron - Alpha Sigma Phi,1,1,0,no,2026-03-02,2026-03-02,A,
kappaphiepsilon,Kappa Phi Epsilon,1,1,0,no,2026-06-15,2026-06-15,A,
kappasigma,Kappa Sigma,1,1,0,no,2026-08-05,2026-08-05,A,
kappasigmageorgiasouthern,Kappa Sigma - Georgia Southern,1,1,0,no,2026-08-05,2026-08-05,A,
kappasigmaecu,Kappa Sigma ECU,1,1,0,no,2026-08-05,2026-08-05,A,
kappasigmafgcu,Kappa Sigma FGCU,1,1,0,no,2026-03-02,2026-03-02,A,
kappasigmaatgcsu,Kappa Sigma at GCSU,1,1,0,no,2026-08-05,2026-08-05,A,
kappasigmaattennesseetech,Kappa Sigma at Tennessee Tech,1,1,0,no,2026-08-05,2026-08-05,A,
kappasigmaattheuniversityofsouthcarolina,Kappa Sigma at The University of South Carolina,1,1,0,no,2026-08-05,2026-08-05,A,
kappasigmaattheuniversityofwestgeorgia,Kappa Sigma at The University of West Georgia,1,1,0,no,2026-08-05,2026-08-05,A,
kappasigmaatucf,Kappa Sigma at UCF,1,1,0,no,2026-06-15,2026-06-15,A,
kappasigmauniversityofnorthtexas,Kappa Sigma | University of North Texas,1,1,0,no,2026-07-07,2026-07-07,A,
kennesawstatedeltachi,Kennesaw State Delta Chi,1,1,0,no,2026-08-05,2026-08-05,A,
kennesawstatesigmanu,Kennesaw State Sigma Nu,1,1,0,no,2026-08-05,2026-08-05,A,
launidadlatinainvincibleiota,La Unidad Latina ⚜️ Invincible 𝐈𝐎𝐓𝐀,1,1,0,no,2026-06-15,2026-06-15,A,
lambdaalphachapter,Lambda Alpha Chapter,1,1,0,no,2026-06-18,2026-06-18,A,
lambdachialpha,Lambda Chi Alpha,1,1,0,no,2026-07-06,2026-07-06,A,
lambdachialpha,Lambda Chi Alpha,1,1,0,no,2026-07-06,2026-07-06,A,
lambdachialpha,Lambda Chi Alpha,1,1,0,no,2026-07-06,2026-07-06,A,
lambdachialphaappalachianstate,Lambda Chi Alpha - Appalachian State,1,1,0,no,2026-08-05,2026-08-05,A,
lambdachialphagettysburg,Lambda Chi Alpha - Gettysburg,1,1,0,no,2026-07-06,2026-07-06,A,
lambdachialphatampa,Lambda Chi Alpha - Tampa,1,1,0,no,2026-06-15,2026-06-15,A,
lambdachialphavillanovauniveristy,Lambda Chi Alpha Villanova Univeristy,1,1,0,no,2026-06-15,2026-06-15,A,
lambdachialphaatuf,Lambda Chi Alpha at UF,1,1,0,no,2026-06-15,2026-06-15,A,
lambdachialphabetapsizeta,Lambda Chi Alpha | Beta-Psi Zeta,1,1,0,no,2026-07-07,2026-07-07,A,
lambdachialphahighpointuniversity,Lambda Chi Alpha | High Point University,1,1,0,no,2026-07-06,2026-07-06,A,
lambdachialphauniversityoftennessee,Lambda Chi Alpha | University of Tennessee,1,1,0,no,2026-08-05,2026-08-05,A,
lambdachialphasyracuseuniversity,Lambda Chi Alpha • Syracuse University,1,1,0,no,2026-06-16,2026-06-16,A,
lenoirrhyneuniversitypkph,Lenoir - Rhyne University ΠΚΦ,1,1,0,no,2026-06-18,2026-06-18,A,
loyolapikappaphi,Loyola ☆ Pi Kappa Phi,1,1,0,no,2026-06-18,2026-06-18,A,
minnesotapikes,Minnesota Pikes,1,1,0,no,2026-06-17,2026-06-17,A,
mizzoupikes,Mizzou Pikes,1,1,0,no,2026-06-17,2026-06-17,A,
muthetaalphaepsilonpi,Mu Theta | Alpha Epsilon Pi,1,1,0,no,2026-08-05,2026-08-05,A,
northgeorgiapike,North Georgia PIKE,1,1,0,no,2026-06-17,2026-06-17,A,
northtexaspike,North Texas PIKE,1,1,0,no,2026-07-07,2026-07-07,A,
northtexasphikappatau,North Texas Phi Kappa Tau,1,1,0,no,2026-07-07,2026-07-07,A,
northeasternstateuniversitypka,Northeastern State University ΠΚΑ,1,1,0,no,2026-06-17,2026-06-17,A,
northwestmissouristatepike,Northwest Missouri State Pike,1,1,0,no,2026-06-17,2026-06-17,A,
ohiouniversitypikes,Ohio University Pikes,1,1,0,no,2026-06-18,2026-06-18,A,
omicrongammaomegamoravianuniversity,Omicron Gamma Omega - Moravian University,1,1,0,no,2026-07-06,2026-07-06,A,
phideltatheta,PHI DELTA THETA,1,1,0,no,2026-06-15,2026-06-15,A,
phideltathetagsu,PHI DELTA THETA | GSU,1,1,0,no,2026-08-05,2026-08-05,A,
phigammadelta,PHI GAMMA DELTA,1,1,0,no,2026-06-15,2026-06-15,A,
phikappatau,PHI KAPPA TAU,1,1,0,no,2026-06-15,2026-06-15,A,
pikappaalpha,PI KAPPA ALPHA,1,1,0,no,2026-07-05,2026-07-05,A,
pikappaalphacnu,PI KAPPA ALPHA - CNU,1,1,0,no,2026-06-17,2026-06-17,A,
pikappaalphagammaepsilon,PI Kappa Alpha - Gamma Epsilon,1,1,0,no,2026-06-17,2026-06-17,A,
pikedeltaxi,PIKE Delta Xi,1,1,0,no,2026-06-17,2026-06-17,A,
pikeatbostonuniversity,PIKE at Boston University,1,1,0,no,2026-06-17,2026-06-17,A,
pikeuniversityofdelaware,PIKE • University Of Delaware,1,1,0,no,2026-06-17,2026-06-17,A,
pennstatefiji,Penn State FIJI,1,1,0,no,2026-06-11,2026-06-11,A,
pennstatethetachi,Penn State Theta Chi,1,1,0,no,2026-06-11,2026-06-11,A,
pennsylvaniastatelambdachi,Pennsylvania State Lambda Chi,1,1,0,no,2026-06-11,2026-06-11,A,
phideltatheta,Phi Delta Theta,1,1,0,no,2026-07-06,2026-07-06,A,
phideltatheta,Phi Delta Theta,1,1,0,no,2026-08-05,2026-08-05,A,
phideltathetamiami,Phi Delta Theta - Miami,1,1,0,no,2026-08-05,2026-08-05,A,
phideltathetapennstate,Phi Delta Theta - Penn State,1,1,0,no,2026-06-11,2026-06-11,A,
phideltathetapennsylvaniabeta,Phi Delta Theta - Pennsylvania Beta,1,1,0,no,2026-07-06,2026-07-06,A,
phideltathetafloridaalpha,Phi Delta Theta Florida Alpha,1,1,0,no,2026-06-15,2026-06-15,A,
phideltathetakyad,Phi Delta Theta KY-AD,1,1,0,no,2026-07-06,2026-07-06,A,
phideltathetauniversityofwestgeorgia,Phi Delta Theta • University of West Georgia,1,1,0,no,2026-08-05,2026-08-05,A,
phigammadelta,Phi Gamma Delta,1,1,0,no,2026-08-05,2026-08-05,A,
phigammadelta,Phi Gamma Delta,1,1,0,no,2026-07-07,2026-07-07,A,
phigammadeltarutgersuniversity,Phi Gamma Delta | Rutgers University,1,1,0,no,2026-06-15,2026-06-15,A,
phikappapsibutleruniversity,Phi Kappa Psi - Butler University,1,1,0,no,2026-07-06,2026-07-06,A,
phikappapsipenneta,Phi Kappa Psi - Penn Eta,1,1,0,no,2026-07-06,2026-07-06,A,
phikappapsipennstate,Phi Kappa Psi - Penn State,1,1,0,no,2026-06-11,2026-06-11,A,
phikappapsialabamaalpha,Phi Kappa Psi Alabama Alpha,1,1,0,no,2026-06-15,2026-06-15,A,
phikappapsilouisianabeta,Phi Kappa Psi | Louisiana Beta,1,1,0,no,2026-07-06,2026-07-06,A,
phikappasigma,Phi Kappa Sigma,1,1,0,no,2026-06-15,2026-06-15,A,
phikappasigmaatfm,Phi Kappa Sigma at F&M,1,1,0,no,2026-07-06,2026-07-06,A,
phikappasigma,Phi Kappa Sigma ☠️,1,1,0,no,2026-08-05,2026-08-05,A,
phikappataudeltachapter,Phi Kappa Tau - Delta Chapter,1,1,0,no,2026-07-06,2026-07-06,A,
phikappataupennstate,Phi Kappa Tau - Penn State,1,1,0,no,2026-06-11,2026-06-11,A,
phikappatausouthcarolina,Phi Kappa Tau - South Carolina,1,1,0,no,2026-08-05,2026-08-05,A,
phikappatauzetamu,Phi Kappa Tau - Zeta Mu,1,1,0,no,2026-08-05,2026-08-05,A,
phikappataurutgers,Phi Kappa Tau • Rutgers,1,1,0,no,2026-06-15,2026-06-15,A,
phirhochapterofdeltakappaepsilon,Phi Rho Chapter of Delta Kappa Epsilon,1,1,0,no,2026-06-11,2026-06-11,A,
phisigmakappa,Phi Sigma Kappa,1,1,0,no,2026-06-18,2026-06-18,A,
phisigmakappa,Phi Sigma Kappa,1,1,0,no,2026-08-05,2026-08-05,A,
phisigmakappa,Phi Sigma Kappa,1,1,0,no,2026-06-15,2026-06-15,A,
phisigmakappautk,Phi Sigma Kappa UTK,1,1,0,no,2026-08-05,2026-08-05,A,
phisigmakappafarsig,Phi Sigma Kappa [Far Sig],1,1,0,no,2026-06-11,2026-06-11,A,
phisigmakappageorgiasouthern,Phi Sigma Kappa | Georgia Southern,1,1,0,no,2026-08-05,2026-08-05,A,
phisigmakappasouthcarolina,Phi Sigma Kappa | South Carolina,1,1,0,no,2026-08-05,2026-08-05,A,
phisigmakappaphskpsk,Phi Sigma Kappa • ΦΣΚ • PSK,1,1,0,no,2026-06-15,2026-06-15,A,
pikappaalpha,Pi Kappa Alpha,1,1,0,no,2026-06-17,2026-06-17,A,
pikappaalpha,Pi Kappa Alpha,1,1,0,no,2026-06-17,2026-06-17,A,
pikappaalpha,Pi Kappa Alpha,1,1,0,no,2026-07-05,2026-07-05,A,
pikappaalpha,Pi Kappa Alpha,1,1,0,no,2026-06-18,2026-06-18,A,
pikappaalpha,Pi Kappa Alpha,1,1,0,no,2026-06-17,2026-06-17,A,
pikappaalpha,Pi Kappa Alpha,1,1,0,no,2026-06-17,2026-06-17,A,
pikappaalpha,Pi Kappa Alpha,1,1,0,no,2026-06-17,2026-06-17,A,
pikappaalpha,Pi Kappa Alpha,1,1,0,no,2026-07-05,2026-07-05,A,
pikappaalpha,Pi Kappa Alpha,1,1,0,no,2026-06-17,2026-06-17,A,
pikappaalpha,Pi Kappa Alpha,1,1,0,no,2026-06-17,2026-06-17,A,
pikappaalpha,Pi Kappa Alpha,1,1,0,no,2026-06-17,2026-06-17,A,
pikappaalpha,Pi Kappa Alpha,1,1,0,no,2026-06-17,2026-06-17,A,
pikappaalpha,Pi Kappa Alpha,1,1,0,no,2026-06-17,2026-06-17,A,
pikappaalpha,Pi Kappa Alpha,1,1,0,no,2026-06-17,2026-06-17,A,
pikappaalpha,Pi Kappa Alpha,1,1,0,no,2026-07-05,2026-07-05,A,
pikappaalpha,Pi Kappa Alpha,1,1,0,no,2026-08-05,2026-08-05,,
pikappaalpha,Pi Kappa Alpha,1,1,0,no,2026-07-05,2026-07-05,A,
pikappaalpha,Pi Kappa Alpha,1,1,0,no,2026-06-17,2026-06-17,A,
pikappaalpha,Pi Kappa Alpha,1,1,0,no,2026-08-05,2026-08-05,A,
pikappaalpha,Pi Kappa Alpha,1,1,0,no,2026-07-05,2026-07-05,A,
pikappaalpha,Pi Kappa Alpha,1,1,0,no,2026-06-17,2026-06-17,A,
pikappaalpha,Pi Kappa Alpha,1,1,0,no,2026-06-17,2026-06-17,A,
pikappaalpha,Pi Kappa Alpha,1,1,0,no,2026-06-17,2026-06-17,A,
pikappaalpha,Pi Kappa Alpha,1,1,0,no,2026-07-05,2026-07-05,A,
pikappaalpha,Pi Kappa Alpha,1,1,0,no,2026-06-15,2026-06-15,A,
pikappaalpha,Pi Kappa Alpha,1,1,0,no,2026-06-17,2026-06-17,A,
pikappaalphaepsilon,Pi Kappa Alpha - Epsilon,1,1,0,no,2026-06-17,2026-06-17,A,
pikappaalphakansasstate,Pi Kappa Alpha - Kansas State,1,1,0,no,2026-06-17,2026-06-17,A,
pikappaalphamukappachapter,Pi Kappa Alpha - Mu Kappa Chapter,1,1,0,no,2026-06-17,2026-06-17,A,
pikappaalphaoregonstate,Pi Kappa Alpha - Oregon State,1,1,0,no,2026-06-17,2026-06-17,A,
pikappaalphasaintlouisuniversity,Pi Kappa Alpha - Saint Louis University,1,1,0,no,2026-06-17,2026-06-17,A,
pikappaalphausd,Pi Kappa Alpha - USD,1,1,0,no,2026-06-17,2026-06-17,A,
pikappaalphauniversityoflouisville,Pi Kappa Alpha - University of Louisville,1,1,0,no,2026-06-17,2026-06-17,A,
pikappaalphauniversityofmichigan,Pi Kappa Alpha - University of Michigan,1,1,0,no,2026-06-17,2026-06-17,A,
pikappaalphagcsu,Pi Kappa Alpha @ GCSU,1,1,0,no,2026-08-05,2026-08-05,A,
pikappaalphahsc,Pi Kappa Alpha H-SC,1,1,0,no,2026-06-17,2026-06-17,A,
pikappaalphaoklahomastateuniversity,Pi Kappa Alpha Oklahoma State University,1,1,0,no,2026-07-05,2026-07-05,A,
pikappaalpharpi,Pi Kappa Alpha RPI,1,1,0,no,2026-06-17,2026-06-17,A,
pikappaalphaunivoftoledo,Pi Kappa Alpha Univ. of Toledo,1,1,0,no,2026-07-05,2026-07-05,A,
pikappaalphaatindiana,Pi Kappa Alpha at Indiana,1,1,0,no,2026-07-05,2026-07-05,A,
pikappaalphaatlsu,Pi Kappa Alpha at LSU,1,1,0,no,2026-07-05,2026-07-05,A,
pikappaalphaatndsu,Pi Kappa Alpha at NDSU,1,1,0,no,2026-06-17,2026-06-17,A,
pikappaalphaatulm,Pi Kappa Alpha at ULM,1,1,0,no,2026-06-17,2026-06-17,A,
pikappaalphabetaphi,Pi Kappa Alpha | Beta Phi,1,1,0,no,2026-06-17,2026-06-17,A,
pikappaalphaecu,Pi Kappa Alpha | ECU,1,1,0,no,2026-08-05,2026-08-05,A,
pikappaalphamuiota,Pi Kappa Alpha | Mu Iota,1,1,0,no,2026-06-17,2026-06-17,A,
pikappaalphapike,Pi Kappa Alpha | PIKE,1,1,0,no,2026-07-07,2026-07-07,A,
pikappaalphapike,Pi Kappa Alpha | PIKE,1,1,0,no,2026-06-17,2026-06-17,A,
pikappaalphasdsu,Pi Kappa Alpha | SDSU,1,1,0,no,2026-06-17,2026-06-17,A,
pikappaalphauwo,Pi Kappa Alpha | UWO,1,1,0,no,2026-06-17,2026-06-17,A,
pikappaalphazetaiota,Pi Kappa Alpha | Zeta Iota,1,1,0,no,2026-06-17,2026-06-17,A,
pikappaalphabetasigma,"Pi Kappa Alpha, Beta Sigma",1,1,0,no,2026-06-17,2026-06-17,A,
pikappaphi,Pi Kappa Phi,1,1,0,no,2026-06-18,2026-06-18,A,
pikappaphi,Pi Kappa Phi,1,1,0,no,2026-06-18,2026-06-18,A,
pikappaphi,Pi Kappa Phi,1,1,0,no,2026-08-05,2026-08-05,A,
pikappaphi,Pi Kappa Phi,1,1,0,no,2026-06-18,2026-06-18,A,
pikappaphi,Pi Kappa Phi,1,1,0,no,2026-06-18,2026-06-18,A,
pikappaphi,Pi Kappa Phi,1,1,0,no,2026-06-15,2026-06-15,A,
pikappaphi,Pi Kappa Phi,1,1,0,no,2026-06-18,2026-06-18,A,
pikappaphi,Pi Kappa Phi,1,1,0,no,2026-06-18,2026-06-18,A,
pikappaphi,Pi Kappa Phi,1,1,0,no,2026-06-18,2026-06-18,A,
pikappaphi,Pi Kappa Phi,1,1,0,no,2026-06-18,2026-06-18,A,
pikappaphi,Pi Kappa Phi,1,1,0,no,2026-06-18,2026-06-18,A,
pikappaphibetanu,Pi Kappa Phi - Beta Nu,1,1,0,no,2026-06-18,2026-06-18,A,
pikappaphibetaxi,Pi Kappa Phi - Beta Xi,1,1,0,no,2026-06-18,2026-06-18,A,
pikappaphiepsilonmu,Pi Kappa Phi - Epsilon Mu,1,1,0,no,2026-06-18,2026-06-18,A,
pikappaphigammaepsilon,Pi Kappa Phi - Gamma Epsilon,1,1,0,no,2026-06-18,2026-06-18,A,
pikappaphiiit,Pi Kappa Phi - IIT,1,1,0,no,2026-06-18,2026-06-18,A,
pikappaphimissouristate,Pi Kappa Phi - Missouri State,1,1,0,no,2026-07-07,2026-07-07,A,
pikappaphinsu,Pi Kappa Phi - NSU,1,1,0,no,2026-06-18,2026-06-18,A,
pikappaphisigmachapters,Pi Kappa Phi - Sigma Chapter Σ,1,1,0,no,2026-08-05,2026-08-05,A,
pikappaphitennesseetechuniversity,Pi Kappa Phi - Tennessee Tech University,1,1,0,no,2026-08-05,2026-08-05,A,
pikappaphiuccs,Pi Kappa Phi - UCCS,1,1,0,no,2026-06-18,2026-06-18,A,
pikappaphiusd,Pi Kappa Phi - USD,1,1,0,no,2026-06-18,2026-06-18,A,
pikappaphicsulb,Pi Kappa Phi CSULB,1,1,0,no,2026-06-18,2026-06-18,A,
pikappaphifraternitydu,Pi Kappa Phi Fraternity DU,1,1,0,no,2026-06-18,2026-06-18,A,
pikappaphigcsu,Pi Kappa Phi GCSU,1,1,0,no,2026-08-05,2026-08-05,A,
pikappaphilouisville,Pi Kappa Phi Louisville,1,1,0,no,2026-06-18,2026-06-18,A,
pikappaphiatrensselaerpolytechnicinstitute,Pi Kappa Phi at Rensselaer Polytechnic Institute,1,1,0,no,2026-06-18,2026-06-18,A,
pikappaphiappalachianstateuniversity,Pi Kappa Phi | Appalachian State University,1,1,0,no,2026-08-05,2026-08-05,A,
pikappaphibetabeta,Pi Kappa Phi | Beta Beta,1,1,0,no,2026-06-18,2026-06-18,A,
pikappaphifloridagulfcoast,Pi Kappa Phi | Florida Gulf Coast,1,1,0,no,2026-03-02,2026-03-02,A,
